URL,sku,attribute_set_code,product_type
https://www.mailboxworks.com/installation-post-mount-mailbox.html,LPBI,Default,simple
https://www.mailboxworks.com/installation-wall-mount-mailbox.html,LWMBI,Default,simple
https://www.mailboxworks.com/gift-certificate.html,Certificate-SALE,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-alberta.html,MAAALBERT-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-arch-marker.html,MAAARCH-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-camden.html,MAACAMDEN-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-chamford.html,MAACHAMFD-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-circle.html,MAACIRCLE-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-diamond.html,MAADIAMOND-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-eschman.html,MAAESCHMAN-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-harmony.html,MAAHARMONY-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-kelso.html,MAAPLQ-KLO,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-kozak.html,MAAPLQ-KSK,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-large-doubleborder.html,MAALGDBLBDR-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-large-oval.html,MAALGEOVAL-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-prairie-dupont.html,MAAPRAIRDPT-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-rectangle.html,MAARECTANGLE-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-small-doubleborder.html,MAASMDBLBDR-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-small-oval.html,MAASMOVAL-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-st-clair.html,MAASTCLAIR-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-st-hubert.html,MAASTHUBERT-BS,Default,simple
https://www.mailboxworks.com/address-plaques/brass-house-signs/majestic-vertical.html,MAAVERTICAL-BS,Default,simple
https://www.mailboxworks.com/address-plaques/hanging-house-signs/stonemill-hanging.html,TSA1SIDEHANGING-TSA2SIDEHANGING,Default,simple
https://www.mailboxworks.com/address-plaques/hanging-house-signs/whitehall-arch.html,WHAARCHHNG,Default,simple
https://www.mailboxworks.com/address-plaques/hanging-house-signs/whitehall-hobby-chopper.html,WHAHOBBYCHOP-WHAZFLAMEBRACK,Default,simple
https://www.mailboxworks.com/address-plaques/hanging-house-signs/whitehall-hobby-hotrod.html,WHAHBYHOTROD-WHAZFLAMEBRACK,Default,simple
https://www.mailboxworks.com/address-plaques/hanging-house-signs/whitehall-hobby-motorcycle.html,WHAHBYMTRCYCLE-WHAZFLAMEBRACK,Default,simple
https://www.mailboxworks.com/address-plaques/hanging-house-signs/whitehall-hobby-racecar.html,WHAHOBBYCAR-WHAZFLAMEBRACK,Default,simple
https://www.mailboxworks.com/address-plaques/hanging-house-signs/whitehall-hobby-tractor.html,WHAHBYTRACTOR-WHAZSAWBRACKET,Default,simple
https://www.mailboxworks.com/address-plaques/hanging-house-signs/whitehall-hobby-workshop.html,WHAHOBBYWORKSHOP-WHAZSAWBRACKET,Default,simple
https://www.mailboxworks.com/address-plaques/hanging-house-signs/whitehall-oval-hanging.html,WHAOVALHNG,Default,simple
https://www.mailboxworks.com/address-plaques/hanging-house-signs/whitehall-rectangle.html,WHARECHNG,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/architectural-laguna/architectural-laguna-brass.html,AMNLAGUNA-AB,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/architectural-laguna/architectural-laguna-copper.html,AMNLAGUNA-AC,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/architectural-laguna/architectural-laguna-darkcopper.html,AMNLAGUNA-ADC,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/architectural-laguna/architectural-laguna-nickel.html,AMNLAGUNA-SN,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/blomus-signo/blomus-signo-stainlesssteel.html,BLN,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/copper/copper-5-inch.html,MWNCOP5,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/copper/copper-8-inch.html,MWNCOP8,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/copper/patina-copper-5inch.html,MWNCOPPAT5,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/copper/patina-copper-8inch.html,MWNCOPPAT8,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/fuoriserie-ceramic-glass/fuoriserie-ecco-ceramicglass.html,FINTILE-FILTILE,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/fuoriserie-ecco/fuoriserie-ecco-antiquecopper.html,FIN-AC,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/fuoriserie-ecco/fuoriserie-ecco-brass.html,FIN-SB,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/fuoriserie-ecco/fuoriserie-ecco-bronze.html,FIN-BZ,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/fuoriserie-ecco/fuoriserie-ecco-copper.html,FIN-CP,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/fuoriserie-ecco/fuoriserie-ecco-nickel.html,FIN-SN,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/fuoriserie-ecco/fuoriserie-ecco-pewterblack.html,FIN-BP,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/3-inch/houseart-3inch-black.html,HANSM-BL,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/3-inch/houseart-3inch-bonitablue.html,HANSM-BB,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/3-inch/houseart-3inch-bougainvilleapink.html,HANSM-PK,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/3-inch/houseart-3inch-darkbronze.html,HANSM-DB,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/3-inch/houseart-3inch-keylime.html,HANSM-KL,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/3-inch/houseart-3inch-marshmallowwhite.html,HANSM-MW,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/3-inch/houseart-3inch-miamimango.html,HANSM-MM,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/3-inch/houseart-3inch-rust.html,HANSM-RU,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/3-inch/houseart-3inch-silver.html,HANSM-SL,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/3-inch/houseart-3inch-stainlesssteel.html,HANSM-SS,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/5-inch/houseart-5inch-black.html,HAN-BL,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/5-inch/houseart-5inch-bonitablue.html,HAN-BB,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/5-inch/houseart-5inch-bougainvilleapink.html,HAN-PK,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/5-inch/houseart-5inch-darkbronze.html,HAN-DB,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/5-inch/houseart-5inch-keylime.html,HAN-KL,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/5-inch/houseart-5inch-marshmallowwhite.html,HAN-MW,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/5-inch/houseart-5inch-miamimango.html,HAN-MM,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/5-inch/houseart-5inch-rust.html,HAN-RU,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/5-inch/houseart-5inch-silver.html,HAN-SL,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/5-inch/houseart-5inch-stainlesssteel.html,HAN-SS,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/8-inch/houseart-8inch-black.html,HANLG-BL,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/8-inch/houseart-8inch-bonitablue.html,HANLG-BB,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/8-inch/houseart-8inch-bougainvilleapink.html,HANLG-PK,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/8-inch/houseart-8inch-darkbronze.html,HANLG-DB,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/8-inch/houseart-8inch-keylime.html,HANLG-KL,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/8-inch/houseart-8inch-marshmallowwhite.html,HANLG-MW,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/8-inch/houseart-8inch-miamimango.html,HANLG-MM,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/8-inch/houseart-8inch-rust.html,HANLG-RU,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/8-inch/houseart-8inch-silver.html,HANLG-SL,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art/8-inch/houseart-8inch-stainlesssteel.html,HANLG-SS,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art-bfuller/houseart-bfuller-bonitablue.html,HANBFUL-BB,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art-bfuller/houseart-bfuller-bougainvilleapink.html,HANBFUL-PK,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art-bfuller/houseart-bfuller-brushedstainless.html,HANBFUL-SS,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art-bfuller/houseart-bfuller-darkbronze.html,HANBFUL-DB,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art-bfuller/houseart-bfuller-keylime.html,HANBFUL-KL,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art-bfuller/houseart-bfuller-marshmallowwhite.html,HANBFUL-MW,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art-bfuller/houseart-bfuller-miamimango.html,HANBFUL-MM,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art-bfuller/houseart-bfuller-rust.html,HANBFUL-RU,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art-bfuller/houseart-bfuller-satinblack.html,HANBFUL-BL,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/house-art-bfuller/houseart-bfuller-satinsilver.html,HANBFUL-SL,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/majestic-large/majestic-large-black.html,MANLARGE-AL-BL,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/majestic-large/majestic-large-brilliantwhite.html,MANLARGE-AL-BW,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/majestic-large/majestic-large-bronze.html,MANLARGE-AL-BR,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/majestic-large/majestic-large-burgundy.html,MANLARGE-AL-BU,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/majestic-large/majestic-large-coppervein.html,MANLARGE-AL-CV,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/majestic-large/majestic-large-deeppurple.html,MANLARGE-AL-DP,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/majestic-large/majestic-large-forestgreen.html,MANLARGE-AL-FG,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/majestic-large/majestic-large-gold.html,MANLARGE-AL-GO,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/majestic-large/majestic-large-goldvein.html,MANLARGE-AL-GV,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/majestic-large/majestic-large-naturalstone.html,MANLARGE-AL-NS,Default,simple
https://www.mailboxworks.com/address-plaques/house-numbers-letters/majestic-large/majestic-large-navyblue.html,MANLARGE-AL-NB,Default,simple
